"person_id","time_of_measurement","measured_upload_speed_in_Mbps","did_test_complete_successfully"
11218,0,0.370883882149047,0
11560,0,0.0170575692963753,0
11677,0,0.363951473136915,0
12309,0,0.400346620450607,0
12312,0,0.103986135181976,0
13623,0,0.376083188908146,0
13821,0,0.374350086655113,0
13895,0,0.403812824956672,0
13918,0,0.0336633663366337,0
14280,0,0.386481802426343,0
14628,0,0.0341151385927505,0
14631,0,0.433275563258232,0
14820,0,0.396880415944541,0
15164,0,0.409012131715771,0
15769,0,0.0257425742574257,0
15814,0,0.393414211438475,0
15900,0,0.0127931769722814,0
15903,0,0.383015597920277,0
15974,0,0.215334420880914,0
16526,0,0.023454157782516,0
16818,0,0.0953206239168111,0
17285,0,0.0178217821782178,0
17738,0,0.0178217821782178,0
17777,0,0.388214904679376,0
18542,0,0.38474870017331,0
18922,0,0.0138613861386139,0
19001,0,0.407279029462738,0
19424,0,0.419410745233969,0
19836,0,0.431542461005199,0
20119,0,0.0191897654584222,0
20573,0,0.391681109185442,0
20734,0,0.0213219616204691,0
21044,0,0.41421143847487,0
21097,0,0.0316831683168317,0
21249,0,0.407279029462738,0
21502,0,0.428076256499133,0
21795,0,0.200652528548124,0
21895,0,0.107452339688042,0
22090,0,0.0217821782178218,0
22176,0,0.023454157782516,0
22778,0,0.0918544194107452,0
22782,0,0.426343154246101,0
23120,0,0.388214904679376,0
23131,0,0.105719237435009,0
23340,0,0.197389885807504,0
23401,0,0.417677642980936,0
23533,0,0.0170575692963753,0
23593,0,0.0170575692963753,0
23817,0,0.388214904679376,0
23959,0,0.0198019801980198,0
24541,0,0.10051993067591,0
24655,0,0.119584055459272,0
24838,0,0.0255863539445629,0
24948,0,0.0319829424307036,0
25065,0,0.0217821782178218,0
25118,0,0.097053726169844,0
25531,0,0.0362473347547974,0
25793,0,0.0217821782178218,0
26315,0,0.200652528548124,0
27150,0,0.10051993067591,0
27332,0,0.350086655112652,0
27485,0,0.0170575692963753,0
27566,0,0.405545927209705,0
27791,0,0.0213219616204691,0
28107,0,0.182707993474715,0
28223,0,0.422876949740035,0
28676,0,0.363951473136915,0
28964,0,0.0213219616204691,0
29404,0,0.0170575692963753,0
29596,0,0.0814558058925477,0
30235,0,0.072790294627383,0
31032,0,0.0149253731343284,0
31246,0,0.403812824956672,0
31329,0,0.110918544194107,0
31876,0,0.0213219616204691,0
33096,0,0.391681109185442,0
33180,0,0.40207972270364,0
33207,0,0.422876949740035,0
33361,0,0.0149253731343284,0
33365,0,0.102253032928943,0
33581,0,0.379549393414211,0
34157,0,0.407279029462738,0
34826,0,0.107452339688042,0
34994,0,0.210440456769984,0
35085,0,0.11265164644714,0
35293,0,0.213703099510604,0
35593,0,0.195758564437194,0
35703,0,0.0237623762376238,0
36205,0,0.369150779896014,0
36308,0,0.176182707993475,0
36702,0,0.184339314845024,0
37179,0,0.0198019801980198,0
37445,0,0.351819757365685,0
37494,0,0.405545927209705,0
37582,0,0.0178217821782178,0
38202,0,0.00792079207920792,0
38617,0,0.208809135399674,0
38864,0,0.197389885807504,0
39486,0,0.023454157782516,0
39523,0,0.199021207177814,0
39562,0,0.0901213171577123,0
40264,0,0.0127931769722814,0
40650,0,0.0191897654584222,0
40892,0,0.389948006932409,0
40895,0,0.116117850953206,0
40966,0,0.407279029462738,0
41015,0,0.200652528548124,0
41342,0,0.405545927209705,0
41370,0,0.0191897654584222,0
42510,0,0.10051993067591,0
42701,0,0.023454157782516,0
42994,0,0.11265164644714,0
43080,0,0.102253032928943,0
43114,0,0.0106609808102345,0
43120,0,0.0217821782178218,0
43205,0,0.0849220103986135,0
43298,0,0.0191897654584222,0
43310,0,0.383015597920277,0
43381,0,0.0277185501066098,0
43456,0,0.379549393414211,0
43574,0,0.412478336221837,0
43734,0,0.11265164644714,0
44256,0,0.393414211438475,0
44301,0,0.428076256499133,0
44654,0,0.0198019801980198,0
45436,0,0.365684575389948,0
45591,0,0.388214904679376,0
45676,0,0.097053726169844,0
45900,0,0.0213219616204691,0
46020,0,0.0213219616204691,0
46447,0,0.0849220103986135,0
46558,0,0.230016313213703,0
46688,0,0.403812824956672,0
46706,0,0.0178217821782178,0
46914,0,0.415944540727903,0
46986,0,0.393414211438475,0
47020,0,0.10051993067591,0
47350,0,0.393414211438475,0
47842,0,0.226753670473083,0
48060,0,0.0831889081455806,0
48582,0,0.0217821782178218,0
48630,0,0.102253032928943,0
49029,0,0.0849220103986135,0
49842,0,0.221859706362153,0
49879,0,0.0191897654584222,0
49902,0,0.0106609808102345,0
49957,0,0.0127931769722814,0
50025,0,0.190864600326264,0
50112,0,0.421143847487002,0
50210,0,0.436741767764298,0
50494,0,0.0191897654584222,0
50868,0,0.435008665511265,0
51330,0,0.023454157782516,0
51540,0,0.0127931769722814,0
51575,0,0.185970636215334,0
51583,0,0.419410745233969,0
51647,0,0.0953206239168111,0
51815,0,0.407279029462738,0
52131,0,0.412478336221837,0
52201,0,0.38474870017331,0
52526,0,0.0341151385927505,0
52649,0,0.103986135181976,0
53451,0,0.210440456769984,0
53890,0,0.072790294627383,0
54236,0,0.0953206239168111,0
54470,0,0.400346620450607,0
54576,0,0.388214904679376,0
54648,0,0.417677642980936,0
55055,0,0.194127243066884,0
56003,0,0.0149253731343284,0
56262,0,0.405545927209705,0
56269,0,0.424610051993068,0
56866,0,0.00396039603960396,0
57069,0,0.0237623762376238,0
57128,0,0.435008665511265,0
57584,0,0.0191897654584222,0
58001,0,0.213703099510604,0
58283,0,0.0170575692963753,0
58667,0,0.210440456769984,0
59062,0,0.0198019801980198,0
59705,0,0.103986135181976,0
59978,0,0.396880415944541,0
60002,0,0.102253032928943,0
60581,0,0.381282495667244,0
61336,0,0.433275563258232,0
61821,0,0.190864600326264,0
62084,0,0.377816291161178,0
62573,0,0.11265164644714,0
62899,0,0.187601957585644,0
64200,0,0.072790294627383,0
64398,0,0.400346620450607,0
64409,0,0.41421143847487,0
65131,0,0.38474870017331,0
65289,0,0.0099009900990099,0
65415,0,0.40207972270364,0
66063,0,0.0106609808102345,0
66680,0,0.192495921696574,0
66908,0,0.0191897654584222,0
67158,0,0.0213219616204691,0
67170,0,0.205546492659054,0
67390,0,0.0191897654584222,0
67543,0,0.0198019801980198,0
67575,0,0.0170575692963753,0
67753,0,0.426343154246101,0
67933,0,0.231647634584013,0
68098,0,0.417677642980936,0
68614,0,0.097053726169844,0
68618,0,0.0158415841584158,0
68953,0,0.208809135399674,0
69352,0,0.0298507462686567,0
69732,0,0.023454157782516,0
69960,0,0.409012131715771,0
70376,0,0.0849220103986135,0
70533,0,0.0127931769722814,0
70549,0,0.0953206239168111,0
70942,0,0.102253032928943,0
71782,0,0.0127931769722814,0
71969,0,0.435008665511265,0
72385,0,0.391681109185442,0
72429,0,0.388214904679376,0
72646,0,0.374350086655113,0
72698,0,0.177814029363785,0
72862,0,0.102253032928943,0
73942,0,0.192495921696574,0
74343,0,0.0099009900990099,0
75327,0,0.0213219616204691,0
75386,0,0.0953206239168111,0
75496,0,0.0376237623762376,0
75984,0,0.199021207177814,0
76165,0,0.396880415944541,0
76372,0,0.0319829424307036,0
77222,0,0.417677642980936,0
77563,0,0.0138613861386139,0
77756,0,0.0883882149046794,0
77938,0,0.0762564991334489,0
